"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","FAILURE","2024-04-19T21:09:05.68+08:00[Asia/Manila]","0.0","72.73"
"Voucher entries","Voucher entry with single multiple lines","FAILURE","2024-04-19T21:12:50.715+08:00[Asia/Manila]","0.0","68.73"
"Voucher entries","Checking line reference place holder","FAILURE","2024-04-19T21:14:00.235+08:00[Asia/Manila]","0.0","75.21"
"Voucher entries","Voucher entry delete a line","FAILURE","2024-04-19T21:17:47.73+08:00[Asia/Manila]","0.0","64.52"
